Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
33.0,66.0,9.0,18.0,partly cloudy,,3.0,Autumn,6.0,mountain,
,25.0,2.5,14.0,partly cloudy,1010.34,8.0,,5.0,mountain,Sunny
26.0,91.0,9.5,82.0,overcast,1019.42,3.0,Summer,4.0,mountain,Rainy
-2.0,98.0,18.5,86.0,overcast,981.26,0.0,Winter,3.5,mountain,Snowy
17.0,90.0,11.0,98.0,overcast,1017.49,3.0,Winter,4.0,inland,
25.0,,8.5,37.0,partly cloudy,1014.49,4.0,Summer,,inland,Cloudy
,96.0,20.0,88.0,,990.72,1.0,Winter,4.5,mountain,Snowy
-1.0,87.0,14.0,78.0,overcast,984.11,0.0,Winter,4.0,inland,
-5.0,94.0,5.5,55.0,overcast,991.65,0.0,Winter,3.0,,Snowy
22.0,95.0,13.0,90.0,overcast,997.97,3.0,Autumn,,coastal,Rainy
41.0,85.0,9.0,101.0,,1017.89,3.0,Summer,7.5,mountain,
33.0,41.0,0.0,4.0,clear,1018.56,7.0,Winter,9.5,coastal,Sunny
31.0,70.0,0.5,69.0,overcast,1074.07,3.0,Spring,,,Sunny
16.0,84.0,18.5,54.0,overcast,996.12,0.0,Spring,3.0,coastal,Rainy
10.0,64.0,14.0,18.0,overcast,1011.96,1.0,Spring,8.5,coastal,Cloudy
29.0,63.0,6.0,68.0,,992.45,0.0,Winter,3.0,mountain,
15.0,55.0,1.5,32.0,partly cloudy,1009.01,2.0,Autumn,5.5,inland,Cloudy
3.0,75.0,46.5,87.0,overcast,996.85,5.0,Winter,,inland,Snowy
,52.0,9.0,29.0,partly cloudy,1007.84,1.0,Autumn,8.0,mountain,Cloudy
25.0,85.0,9.0,67.0,overcast,995.4,1.0,Winter,2.0,mountain,Rainy
25.0,89.0,1.5,87.0,partly cloudy,1017.16,11.0,Summer,6.5,mountain,Sunny
24.0,47.0,8.0,17.0,clear,1025.22,5.0,Summer,6.0,mountain,Sunny
2.0,97.0,,89.0,partly cloudy,993.14,0.0,Winter,3.0,,Snowy
,54.0,3.0,17.0,clear,1026.15,7.0,Summer,8.0,mountain,Sunny
2.0,81.0,13.5,57.0,overcast,983.36,,Winter,4.0,inland,Snowy
21.0,75.0,,41.0,partly cloudy,1017.74,2.0,Winter,8.0,mountain,Cloudy
11.0,52.0,6.0,97.0,overcast,1063.39,7.0,Summer,12.5,inland,Snowy
31.0,62.0,6.5,84.0,overcast,1013.61,0.0,Spring,4.5,inland,Rainy
,31.0,6.5,18.0,clear,1022.53,7.0,Summer,8.5,coastal,Sunny
34.0,47.0,5.0,4.0,clear,1027.53,9.0,Spring,10.0,inland,Sunny
21.0,66.0,13.5,29.0,partly cloudy,1018.98,3.0,Autumn,8.5,mountain,Cloudy
28.0,68.0,,90.0,overcast,992.83,3.0,Winter,5.0,mountain,Rainy
33.0,62.0,10.0,83.0,partly cloudy,1009.48,1.0,Summer,3.5,inland,Rainy
25.0,96.0,6.0,90.0,overcast,1006.67,0.0,Autumn,4.5,mountain,
27.0,73.0,9.5,47.0,partly cloudy,1017.82,1.0,,,coastal,Cloudy
49.0,75.0,11.5,82.0,partly cloudy,1029.09,10.0,,7.0,coastal,Sunny
-5.0,73.0,12.0,63.0,partly cloudy,983.83,,Winter,4.5,inland,Snowy
,,5.5,99.0,overcast,1019.92,0.0,Summer,4.5,mountain,Rainy
2.0,91.0,6.5,92.0,overcast,999.46,0.0,Winter,2.5,inland,Snowy
32.0,35.0,,63.0,partly cloudy,1160.48,2.0,Winter,0.0,coastal,Sunny
-7.0,78.0,10.0,96.0,overcast,999.99,7.0,,1.0,inland,Snowy
,43.0,1.0,8.0,clear,1022.48,9.0,Summer,9.0,mountain,Sunny
12.0,56.0,9.5,19.0,partly cloudy,,4.0,Winter,6.5,mountain,
-7.0,,9.0,60.0,overcast,995.63,1.0,Winter,4.0,inland,Snowy
15.0,81.0,28.5,71.0,partly cloudy,1008.0,4.0,,6.0,inland,Cloudy
30.0,64.0,6.0,67.0,partly cloudy,1009.12,3.0,Summer,4.0,coastal,Rainy
19.0,93.0,14.5,57.0,overcast,1018.44,0.0,Winter,4.0,inland,Rainy
14.0,44.0,9.0,11.0,partly cloudy,853.01,14.0,Winter,3.5,coastal,Rainy
32.0,38.0,,15.0,partly cloudy,824.71,9.0,Autumn,,inland,
17.0,88.0,18.0,83.0,partly cloudy,,0.0,Spring,5.5,mountain,Sunny
23.0,,11.5,65.0,overcast,1000.74,1.0,Winter,5.0,mountain,Rainy
,35.0,9.5,0.0,partly cloudy,1023.62,9.0,Winter,10.0,coastal,Sunny
-4.0,87.0,5.0,54.0,overcast,981.02,1.0,Winter,4.5,,Snowy
31.0,72.0,17.0,96.0,partly cloudy,1013.85,13.0,Winter,3.5,inland,Cloudy
40.0,66.0,8.0,5.0,clear,1019.82,,Autumn,5.5,mountain,Sunny
20.0,24.0,,6.0,clear,1013.68,9.0,Winter,6.5,mountain,Sunny
-7.0,61.0,2.5,99.0,overcast,994.34,1.0,Winter,2.5,inland,Snowy
-3.0,82.0,,65.0,,991.66,0.0,Winter,1.5,inland,Snowy
22.0,65.0,6.0,14.0,partly cloudy,1010.17,8.0,Autumn,7.0,,Sunny
33.0,79.0,4.5,,overcast,1007.94,1.0,,7.0,coastal,Cloudy
29.0,47.0,8.5,2.0,,1027.33,11.0,Summer,5.5,inland,Sunny
13.0,80.0,15.5,59.0,overcast,1012.06,0.0,Autumn,3.5,mountain,Rainy
27.0,39.0,5.0,16.0,clear,1021.61,5.0,Autumn,5.0,mountain,Sunny
38.0,75.0,0.5,79.0,overcast,1057.69,0.0,Summer,10.0,inland,Rainy
,48.0,,,clear,1015.16,6.0,Autumn,8.5,mountain,
19.0,82.0,7.0,85.0,partly cloudy,1008.5,1.0,Summer,3.5,coastal,Rainy
18.0,70.0,5.0,94.0,,1012.87,2.0,Spring,3.5,mountain,Rainy
18.0,60.0,12.5,42.0,overcast,822.66,2.0,Summer,17.5,mountain,Rainy
2.0,80.0,13.5,79.0,overcast,995.74,1.0,Winter,1.5,inland,Snowy
1.0,81.0,,63.0,overcast,983.99,1.0,,3.5,mountain,Snowy
22.0,69.0,,19.0,partly cloudy,,2.0,,6.0,mountain,Cloudy
-10.0,70.0,2.5,56.0,overcast,989.29,1.0,Winter,4.0,mountain,Snowy
32.0,61.0,5.5,53.0,overcast,995.09,2.0,Summer,4.0,inland,
41.0,29.0,8.0,17.0,clear,1011.53,11.0,,10.0,inland,Sunny
-1.0,99.0,2.5,72.0,overcast,998.51,0.0,Winter,2.0,mountain,Snowy
31.0,65.0,1.5,18.0,overcast,1008.47,2.0,Summer,9.0,inland,Cloudy
19.0,62.0,1.0,14.0,partly cloudy,1016.5,2.0,Autumn,5.5,coastal,Cloudy
-3.0,92.0,28.0,99.0,partly cloudy,987.7,1.0,,4.5,mountain,Snowy
-1.0,83.0,18.0,73.0,overcast,983.46,0.0,Winter,1.5,inland,Snowy
3.0,70.0,2.0,81.0,,984.9,1.0,Winter,2.0,mountain,Snowy
0.0,64.0,4.5,52.0,overcast,984.59,1.0,Winter,1.0,inland,Snowy
26.0,76.0,9.0,68.0,overcast,1004.27,3.0,Spring,3.5,inland,Rainy
22.0,,19.5,81.0,overcast,1017.76,0.0,Winter,4.5,coastal,Rainy
20.0,96.0,14.0,94.0,overcast,,,,4.5,mountain,Rainy
23.0,52.0,1.0,36.0,partly cloudy,1017.92,1.0,Spring,8.5,mountain,Cloudy
3.0,81.0,2.5,89.0,overcast,992.78,1.0,Winter,,mountain,Snowy
20.0,95.0,16.0,91.0,overcast,1016.14,0.0,Summer,2.5,mountain,Rainy
-2.0,91.0,2.5,83.0,overcast,982.21,1.0,Winter,4.0,mountain,Snowy
29.0,77.0,0.5,91.0,cloudy,,14.0,Autumn,17.0,inland,Sunny
2.0,77.0,6.5,75.0,partly cloudy,998.0,0.0,Winter,3.0,mountain,
16.0,67.0,6.5,45.0,partly cloudy,1008.69,,Summer,5.5,coastal,
46.0,94.0,4.0,90.0,,1022.88,10.0,Spring,12.5,mountain,Sunny
-2.0,92.0,1.0,71.0,,998.01,1.0,Winter,1.5,inland,Snowy
20.0,50.0,6.5,21.0,partly cloudy,1013.93,4.0,Autumn,6.0,inland,Cloudy
0.0,64.0,10.5,78.0,overcast,994.62,0.0,Winter,3.0,,Snowy
22.0,48.0,6.0,15.0,clear,1020.0,5.0,Spring,9.5,inland,Sunny
29.0,50.0,5.5,13.0,overcast,1002.04,4.0,Autumn,8.0,inland,Cloudy
4.0,77.0,13.0,76.0,,983.25,1.0,Winter,2.5,mountain,Snowy
40.0,39.0,9.5,15.0,clear,1029.84,8.0,Autumn,8.0,coastal,Sunny
-3.0,60.0,8.0,94.0,overcast,981.56,1.0,Winter,3.0,inland,Snowy
33.0,25.0,4.0,,partly cloudy,1027.6,,Spring,6.5,,Sunny
31.0,87.0,11.0,54.0,partly cloudy,995.87,0.0,Spring,3.5,mountain,Rainy
,72.0,2.5,26.0,cloudy,973.08,6.0,Spring,8.5,inland,
33.0,77.0,1.0,22.0,partly cloudy,1018.78,4.0,Winter,8.5,mountain,Cloudy
-5.0,68.0,0.5,96.0,overcast,992.19,,Winter,1.5,mountain,
-9.0,90.0,1.5,97.0,,,1.0,Winter,4.5,mountain,Snowy
1.0,89.0,,76.0,partly cloudy,982.22,1.0,Winter,4.5,inland,Snowy
,62.0,14.0,13.0,overcast,1003.74,1.0,Autumn,9.0,inland,Cloudy
13.0,75.0,9.5,40.0,overcast,1005.39,,Autumn,8.0,inland,Cloudy
15.0,105.0,7.5,75.0,overcast,,10.0,Summer,4.0,inland,Cloudy
31.0,86.0,13.5,78.0,overcast,999.25,3.0,Winter,4.0,inland,Rainy
26.0,60.0,11.5,50.0,,995.67,3.0,Summer,3.5,inland,
44.0,25.0,1.0,6.0,partly cloudy,1016.02,10.0,Summer,5.5,coastal,Sunny
28.0,93.0,12.5,50.0,partly cloudy,997.24,0.0,Summer,,coastal,Rainy
18.0,88.0,15.5,88.0,overcast,997.61,1.0,Winter,3.5,inland,
30.0,77.0,12.0,51.0,partly cloudy,1007.88,0.0,Spring,3.5,inland,Rainy
24.0,50.0,3.5,10.0,overcast,1017.18,4.0,Summer,6.5,mountain,Cloudy
36.0,32.0,6.0,2.0,clear,1026.15,7.0,Spring,7.5,,Sunny
3.0,75.0,10.5,73.0,overcast,980.47,1.0,Winter,3.0,mountain,Snowy
35.0,49.0,9.0,14.0,clear,1010.52,10.0,Autumn,7.0,coastal,Sunny
26.0,43.0,7.0,18.0,partly cloudy,1024.37,5.0,Summer,,mountain,Sunny
16.0,59.0,11.5,37.0,partly cloudy,1004.12,4.0,Summer,6.5,mountain,Cloudy
38.0,73.0,2.5,,overcast,1034.1,3.0,Autumn,13.0,mountain,Rainy
34.0,,9.0,40.0,overcast,1009.21,4.0,Spring,,coastal,Cloudy
33.0,88.0,19.0,,overcast,998.8,2.0,Autumn,3.0,mountain,Rainy
,72.0,20.0,56.0,overcast,990.4,0.0,Summer,4.0,mountain,Rainy
30.0,58.0,1.0,43.0,overcast,1018.95,2.0,,,,Cloudy
,69.0,,35.0,,,1.0,Spring,8.5,coastal,Cloudy
,94.0,9.0,63.0,overcast,989.82,0.0,Winter,5.0,mountain,
17.0,64.0,19.5,95.0,overcast,1016.54,2.0,,5.0,coastal,
-13.0,60.0,9.5,18.0,partly cloudy,931.79,7.0,,5.5,coastal,Cloudy
34.0,88.0,19.5,73.0,overcast,1018.01,,Spring,4.0,inland,
41.0,90.0,21.5,103.0,overcast,1002.15,13.0,Winter,4.0,coastal,
13.0,77.0,5.0,68.0,cloudy,,3.0,,8.5,inland,Cloudy
23.0,35.0,3.5,12.0,clear,1028.43,7.0,Spring,,inland,Sunny
16.0,96.0,19.0,57.0,overcast,1003.05,0.0,Spring,4.5,inland,Rainy
,70.0,8.5,62.0,overcast,993.19,1.0,Winter,2.0,mountain,Snowy
3.0,90.0,9.5,87.0,overcast,997.83,0.0,Winter,2.5,mountain,Snowy
,54.0,0.0,3.0,clear,1024.65,8.0,Autumn,9.5,inland,Sunny
21.0,64.0,19.0,,partly cloudy,1006.43,0.0,Winter,,coastal,Rainy
38.0,69.0,6.5,19.0,clear,1011.2,5.0,Spring,8.0,coastal,Sunny
-6.0,81.0,19.5,66.0,,995.18,0.0,,1.5,inland,Snowy
10.0,80.0,,,overcast,1005.34,3.0,,3.5,coastal,Rainy
23.0,73.0,14.5,32.0,,1002.91,4.0,Autumn,,,Cloudy
38.0,,0.0,14.0,cloudy,960.81,2.0,Autumn,6.0,mountain,Snowy
15.0,97.0,12.5,62.0,overcast,1013.38,2.0,Winter,3.0,coastal,Rainy
,,2.0,7.0,clear,1029.67,9.0,Spring,9.0,inland,Sunny
26.0,82.0,18.0,54.0,partly cloudy,998.36,1.0,Autumn,3.0,coastal,Rainy
23.0,60.0,19.5,62.0,partly cloudy,1014.54,2.0,Winter,4.5,coastal,Rainy
26.0,68.0,4.0,39.0,,,4.0,Summer,5.5,mountain,Cloudy
10.0,99.0,16.0,58.0,overcast,995.85,2.0,Autumn,1.5,,Rainy
20.0,42.0,4.0,,partly cloudy,,5.0,Autumn,8.0,mountain,Sunny
-2.0,32.0,1.5,17.0,overcast,930.32,1.0,Winter,11.0,coastal,Rainy
-1.0,94.0,13.0,74.0,overcast,,0.0,Winter,4.0,inland,Snowy
28.0,,13.5,48.0,partly cloudy,1013.19,4.0,Summer,5.5,mountain,
-10.0,94.0,7.5,98.0,partly cloudy,989.37,1.0,Winter,4.0,mountain,Snowy
41.0,,4.0,19.0,clear,1025.59,10.0,Spring,6.5,coastal,Sunny
34.0,78.0,,13.0,overcast,1014.07,1.0,Summer,6.0,mountain,Cloudy
33.0,30.0,9.5,7.0,,1019.11,,Spring,5.0,coastal,Sunny
28.0,56.0,8.5,12.0,partly cloudy,1013.53,1.0,Winter,,coastal,Cloudy
49.0,,4.0,61.0,cloudy,1130.72,14.0,Winter,0.0,coastal,Cloudy
28.0,77.0,,68.0,partly cloudy,1175.6,14.0,Autumn,0.0,coastal,
34.0,,34.0,74.0,partly cloudy,1016.03,9.0,Autumn,1.0,inland,Rainy
-7.0,97.0,4.5,73.0,overcast,987.68,0.0,Winter,2.0,mountain,Snowy
78.0,,8.0,,overcast,1010.19,1.0,Autumn,4.5,inland,Cloudy
25.0,24.0,9.5,91.0,overcast,834.02,13.0,Winter,3.5,inland,Snowy
31.0,100.0,15.0,90.0,clear,1019.98,8.0,Summer,5.0,coastal,Sunny
19.0,97.0,9.0,56.0,overcast,1015.74,3.0,Spring,2.0,mountain,Rainy
34.0,97.0,17.5,76.0,overcast,1016.2,1.0,Summer,2.5,coastal,Rainy
10.0,80.0,17.0,69.0,overcast,1012.7,3.0,Summer,1.5,coastal,
28.0,76.0,,16.0,partly cloudy,1018.62,,Summer,7.5,inland,Cloudy
18.0,74.0,0.5,39.0,overcast,,1.0,Autumn,8.5,mountain,Cloudy
32.0,63.0,3.0,46.0,partly cloudy,1006.96,1.0,Summer,8.5,inland,
-7.0,82.0,7.5,57.0,overcast,,0.0,Winter,2.5,mountain,Snowy
22.0,61.0,8.5,13.0,partly cloudy,1009.6,2.0,Spring,6.5,inland,Cloudy
63.0,86.0,13.0,75.0,clear,1027.31,14.0,,,coastal,Sunny
23.0,78.0,15.0,60.0,overcast,,2.0,Autumn,,inland,Rainy
27.0,83.0,16.0,53.0,overcast,1003.68,1.0,Summer,2.5,coastal,Rainy
-9.0,,13.0,92.0,overcast,981.36,0.0,,2.0,mountain,Snowy
-10.0,92.0,17.0,96.0,overcast,982.06,,,4.5,,Snowy
10.0,68.0,8.0,99.0,,,3.0,Spring,1.5,coastal,
35.0,33.0,7.0,5.0,partly cloudy,1025.51,5.0,Winter,7.5,coastal,Sunny
73.0,82.0,47.0,107.0,overcast,1002.73,,,0.5,mountain,Rainy
22.0,89.0,12.0,85.0,partly cloudy,1017.54,11.0,Winter,2.0,coastal,Cloudy
2.0,86.0,11.5,,partly cloudy,999.36,,,2.5,mountain,Snowy
30.0,71.0,12.0,92.0,partly cloudy,992.51,2.0,Spring,3.0,mountain,Rainy
30.0,55.0,5.0,31.0,partly cloudy,,2.0,Autumn,,mountain,Cloudy
14.0,,11.5,11.0,overcast,1012.85,,Winter,6.5,coastal,
19.0,91.0,18.5,97.0,,1011.14,0.0,Autumn,4.0,inland,Rainy
34.0,71.0,4.0,35.0,overcast,1001.54,3.0,Summer,,,Cloudy
27.0,79.0,14.0,29.0,partly cloudy,1008.79,1.0,Summer,7.5,inland,Cloudy
8.0,78.0,,106.0,partly cloudy,982.66,11.0,,3.5,inland,Snowy
-3.0,76.0,10.0,85.0,overcast,986.77,0.0,Winter,3.5,,Snowy
29.0,107.0,,,partly cloudy,1002.18,8.0,Spring,10.0,coastal,Cloudy
27.0,54.0,,11.0,partly cloudy,1015.78,2.0,Summer,6.0,coastal,Cloudy
22.0,95.0,35.5,87.0,overcast,998.45,11.0,Winter,4.0,coastal,Rainy
24.0,,2.0,12.0,partly cloudy,1015.66,7.0,Spring,6.0,inland,Sunny
33.0,69.0,8.0,5.0,clear,1026.28,9.0,Autumn,9.5,,Sunny
28.0,,11.5,24.0,partly cloudy,1105.69,9.0,,1.5,inland,Sunny
32.0,59.0,0.5,18.0,partly cloudy,1016.89,2.0,Spring,7.0,inland,Cloudy
-10.0,72.0,,96.0,overcast,988.45,0.0,Winter,2.0,mountain,
28.0,108.0,7.5,83.0,,1018.84,,Summer,4.0,inland,Sunny
27.0,26.0,9.0,14.0,partly cloudy,1018.24,,Winter,7.0,inland,Sunny
-9.0,71.0,9.5,83.0,,996.4,1.0,Winter,3.5,inland,Snowy
28.0,86.0,9.5,52.0,overcast,,3.0,,3.0,coastal,Rainy
-4.0,64.0,1.0,85.0,overcast,993.69,1.0,Winter,1.5,inland,
25.0,51.0,5.0,,clear,1019.65,7.0,Autumn,7.0,coastal,Sunny
12.0,92.0,20.0,51.0,overcast,1010.65,3.0,,2.0,mountain,Rainy
-12.0,22.0,6.5,71.0,partly cloudy,1097.74,1.0,Spring,9.0,coastal,Snowy
14.0,65.0,6.5,26.0,partly cloudy,1019.03,,Autumn,6.5,coastal,Cloudy
2.0,71.0,11.0,66.0,overcast,984.83,0.0,Winter,3.0,mountain,Snowy
43.0,24.0,7.0,1.0,clear,1020.87,9.0,Summer,7.0,,Sunny
-10.0,84.0,5.0,75.0,,990.82,0.0,Winter,4.5,mountain,Snowy
1.0,,13.5,18.0,overcast,829.86,14.0,Spring,6.5,coastal,Cloudy
25.0,86.0,11.0,75.0,overcast,1006.57,0.0,Autumn,4.0,coastal,Rainy
30.0,96.0,4.5,97.0,partly cloudy,1001.66,,Summer,5.5,mountain,Cloudy
44.0,94.0,9.0,109.0,clear,1024.46,2.0,Spring,6.5,coastal,Sunny
12.0,89.0,17.5,75.0,overcast,997.65,2.0,Autumn,2.0,inland,Rainy
,48.0,3.0,10.0,clear,1019.81,10.0,Autumn,9.5,inland,Sunny
32.0,71.0,19.0,92.0,overcast,1003.24,3.0,,2.5,mountain,Rainy
13.0,79.0,11.0,63.0,overcast,990.71,2.0,Spring,4.5,coastal,Rainy
-24.0,84.0,23.5,80.0,,984.68,0.0,Winter,1.5,mountain,Snowy
22.0,46.0,5.0,1.0,clear,1014.95,11.0,Summer,7.0,mountain,
25.0,57.0,3.5,0.0,partly cloudy,1016.85,,,8.5,inland,Sunny
,69.0,14.5,56.0,,994.53,1.0,Winter,3.0,mountain,Snowy
-10.0,72.0,4.5,72.0,overcast,1193.57,11.0,Summer,13.0,mountain,Rainy
0.0,,4.0,90.0,partly cloudy,993.09,1.0,Winter,3.0,,
41.0,33.0,3.5,5.0,partly cloudy,1021.88,6.0,Spring,8.0,coastal,Sunny
35.0,50.0,7.0,3.0,clear,1011.22,7.0,Autumn,7.5,coastal,Sunny
14.0,,42.5,106.0,partly cloudy,997.34,,Summer,4.0,,Rainy
23.0,63.0,5.0,2.0,clear,1028.61,9.0,,,coastal,Sunny
34.0,31.0,9.5,9.0,clear,1024.74,10.0,Spring,5.5,inland,Sunny
28.0,97.0,12.0,99.0,,1014.95,2.0,Winter,2.5,inland,Rainy
33.0,63.0,8.5,93.0,overcast,990.33,2.0,Summer,3.0,coastal,Rainy
-2.0,52.0,13.5,88.0,cloudy,841.43,2.0,Summer,1.5,mountain,Sunny
12.0,88.0,9.5,76.0,partly cloudy,990.58,1.0,Spring,5.0,mountain,Rainy
11.0,66.0,13.5,39.0,partly cloudy,1005.33,2.0,Summer,7.5,coastal,Cloudy
19.0,72.0,11.0,25.0,overcast,1009.68,4.0,Spring,7.5,mountain,
18.0,87.0,18.0,58.0,,1001.57,1.0,Summer,1.5,inland,Rainy
15.0,98.0,6.0,84.0,partly cloudy,1014.45,2.0,Autumn,,,Rainy
13.0,76.0,0.0,12.0,partly cloudy,1006.38,3.0,,5.5,inland,Cloudy
34.0,24.0,4.0,13.0,clear,1020.55,11.0,Summer,8.0,coastal,Sunny
-7.0,89.0,1.0,63.0,overcast,993.79,1.0,,4.0,mountain,Snowy
-8.0,98.0,14.5,,overcast,989.03,0.0,Winter,4.0,inland,Snowy
1.0,,16.5,59.0,overcast,990.8,1.0,Winter,1.5,mountain,Snowy
21.0,72.0,19.0,57.0,overcast,990.71,,,2.0,coastal,
2.0,105.0,10.5,109.0,overcast,990.79,0.0,Winter,,mountain,Snowy
21.0,46.0,7.5,18.0,,1012.01,7.0,Summer,6.0,coastal,Sunny
-2.0,72.0,9.5,98.0,,991.7,1.0,Winter,1.5,mountain,Snowy
31.0,95.0,19.0,51.0,overcast,1013.15,3.0,Spring,2.5,mountain,
24.0,77.0,13.5,89.0,partly cloudy,1019.08,2.0,Summer,4.0,inland,Rainy
26.0,68.0,15.0,,partly cloudy,1014.58,3.0,Winter,2.5,inland,Rainy
60.0,86.0,12.0,86.0,overcast,1003.36,9.0,,2.0,inland,Cloudy
22.0,72.0,11.0,23.0,overcast,1015.73,,Winter,5.5,inland,
48.0,79.0,12.0,88.0,partly cloudy,1140.24,4.0,Autumn,17.0,mountain,Snowy
32.0,58.0,6.5,4.0,clear,1023.83,6.0,Summer,9.0,mountain,Sunny
-10.0,63.0,17.5,,partly cloudy,993.68,0.0,Winter,3.5,,Snowy
26.0,67.0,10.0,27.0,partly cloudy,1002.53,4.0,Summer,,inland,Cloudy
35.0,58.0,3.0,19.0,clear,1015.4,5.0,Winter,5.0,,Sunny
,76.0,6.0,71.0,partly cloudy,974.29,7.0,Summer,9.0,coastal,Rainy
26.0,27.0,5.5,14.0,partly cloudy,1027.6,7.0,Spring,7.5,coastal,Sunny
,,8.0,16.0,partly cloudy,1017.68,5.0,Summer,,,Sunny
33.0,58.0,8.0,,overcast,1017.0,2.0,Winter,8.0,,
5.0,,9.5,93.0,overcast,985.82,6.0,Winter,6.0,mountain,
23.0,,10.0,,overcast,1003.85,3.0,Winter,9.0,mountain,
-6.0,94.0,2.5,93.0,overcast,989.21,1.0,Winter,1.5,inland,Snowy
8.0,87.0,10.0,104.0,,998.66,1.0,Winter,0.5,mountain,Snowy
-6.0,106.0,33.0,82.0,overcast,995.73,1.0,Winter,1.5,mountain,Snowy
31.0,,,21.0,partly cloudy,1015.8,,Autumn,5.5,inland,Cloudy
32.0,27.0,8.0,18.0,partly cloudy,,,Spring,,inland,Sunny
51.0,85.0,,77.0,clear,,12.0,Autumn,5.0,mountain,Sunny
20.0,86.0,14.0,64.0,overcast,,1.0,Autumn,2.0,coastal,Rainy
22.0,,13.5,20.0,overcast,1003.77,3.0,Winter,7.5,mountain,
